-23.2334,154.9872,6799547.7,421547.7
-21.7893,156.2689,6798948,420948
-20.333,157.5229,6798360.8,420360.8
-18.8657,158.7513,6797787.9,419787.9
-17.3882,159.9565,6797231,419231
-15.9024,161.1401,6796691.9,418691.9
-14.4077,162.3053,6796171.5,418171.5
-12.9057,163.4536,6795671.7,417671.7
-11.3974,164.5868,6795193.8,417193.8
-9.8834,165.7069,6794738.9,416738.9
-8.3654,166.8153,6794308.4,416308.4
-6.8423,167.9149,6793902.9,415902.9
-5.3163,169.0066,6793523.6,415523.6
-3.7873,170.0928,6793171.1,415171.1
-2.2578,171.1739,6792846.5,414846.5
-0.7258,172.2535,6792549.7,414549.7
0.8067,173.3324,6792281.5,414281.5
2.339,174.4124,6792042.3,414042.3
3.8703,175.495,6791832.1,413832.1
5.4,176.582,6791651.1,413651.1
6.9259,177.6743,6791499.3,413499.3
8.45,178.7754,6791376.3,413376.3
9.9702,179.8862,6791281.9,413281.9
11.4857,-178.9915,6791215.7,413215.7
12.9957,-177.8557,6791177.2,413177.2
14.4994,-176.7047,6791165.8,413165.8
15.996,-175.5363,6791180.6,413180.6
17.4846,-174.3487,6791220.9,413220.9
18.9641,-173.1395,6791285.7,413285.7
20.4337,-171.9067,6791374,413374
21.8913,-170.6488,6791484.5,413484.5
23.3374,-169.3622,6791616.2,413616.2
24.7707,-168.0445,6791767.8,413767.8
26.1895,-166.6934,6791938,413938
27.5926,-165.3064,6792125.3,414125.3
28.9785,-163.8808,6792328.2,414328.2
30.3458,-162.4136,6792545.3,414545.3
31.6929,-160.9019,6792775.1,414775.1
33.0182,-159.3427,6793015.9,415015.9
34.3192,-157.7336,6793266.1,415266.1
35.5952,-156.0701,6793524.3,415524.3
36.8433,-154.3501,6793788.8,415788.8
38.0611,-152.5707,6794057.8,416057.8
39.2468,-150.7281,6794329.8,416329.8
40.3979,-148.8192,6794603.4,416603.4
41.5125,-146.84,6794877.2,416877.2
42.5871,-144.7887,6795149.3,417149.3
43.6188,-142.6632,6795418.5,417418.5
44.6045,-140.4612,6795683.2,417683.2
45.5408,-138.1823,6795942,417942
46.4247,-135.8245,6796193.6,418193.6
47.2532,-133.3872,6796436.9,418436.9
48.0226,-130.8718,6796670.7,418670.7
48.7294,-128.2801,6796893.8,418893.8
49.3704,-125.6153,6797105.2,419105.2
49.9421,-122.8826,6797303.8,419303.8
50.4421,-120.0842,6797489.2,419489.2
50.8672,-117.2284,6797660.3,419660.3
51.2149,-114.3231,6797816.5,419816.5
51.4831,-111.3773,6797957.4,419957.4
51.67,-108.403,6798082.4,420082.4
51.7748,-105.4066,6798191.2,420191.2
51.7965,-102.4024,6798283.6,420283.6
51.735,-99.4011,6798359.5,420359.5
51.5908,-96.414,6798418.8,420418.8
51.3647,-93.4513,6798461.7,420461.7
51.0582,-90.5242,6798488.2,420488.2
50.6733,-87.6423,6798498.8,420498.8
50.2124,-84.815,6798493.8,420493.8
49.678,-82.0485,6798473.7,420473.7
49.0729,-79.3477,6798439.1,420439.1
48.4005,-76.719,6798390.7,420390.7
47.664,-74.1654,6798329.2,420329.2
46.8668,-71.6891,6798255.6,420255.6
46.0121,-69.2913,6798170.8,420170.8
45.1035,-66.9724,6798075.8,420075.8
44.1442,-64.7318,6797971.7,419971.7
43.1371,-62.5679,6797859.7,419859.7
42.0856,-60.4793,6797740.9,419740.9
40.9927,-58.4641,6797616.7,419616.7
39.8612,-56.5195,6797488.4,419488.4
38.694,-54.643,6797357.3,419357.3
37.4933,-52.8312,6797224.9,419224.9
36.262,-51.0815,6797092.6,419092.6
35.0017,-49.39,6796961.7,418961.7
33.7149,-47.7539,6796833.8,418833.8
32.4035,-46.17,6796710.3,418710.3
31.0694,-44.6353,6796592.7,418592.7
29.7145,-43.1467,6796482.3,418482.3
28.34,-41.701,6796380.7,418380.7
26.9478,-40.2954,6796289.1,418289.1
25.5391,-38.9272,6796209,418209
24.1153,-37.5937,6796141.7,418141.7
22.6779,-36.2924,6796088.3,418088.3
21.2277,-35.0205,6796050.2,418050.2
19.766,-33.7758,6796028.4,418028.4
18.2946,-32.5565,6796024.1,418024.1
16.813,-31.3592,6796038.2,418038.2
15.3229,-30.1824,6796071.6,418071.6
13.8252,-29.024,6796125.2,418125.2
12.3219,-27.8828,6796199.6,418199.6
10.8117,-26.7552,6796295.6,418295.6
9.2963,-25.6401,6796413.6,418413.6
7.7769,-24.5359,6796554.1,418554.1
6.2537,-23.4404,6796717.5,418717.5
4.7283,-22.3524,6796903.8,418903.8
3.2002,-21.2694,6797113.3,419113.3
1.6714,-20.1905,6797345.8,419345.8
0.1417,-19.1133,6797601.3,419601.3
-1.3883,-18.0362,6797879.6,419879.6
-2.9162,-16.9586,6798180,420180
-4.4441,-15.8768,6798502.6,420502.6
-5.9693,-14.7905,6798846.4,420846.4
-7.4921,-13.6972,6799210.9,421210.9
-9.0108,-12.5959,6799595.1,421595.1
-10.5255,-11.4843,6799998.2,421998.2
-12.0351,-10.3605,6800419.2,422419.2
-13.5383,-9.2234,6800856.9,422856.9
-15.0359,-8.0695,6801310.4,423310.4
-16.5243,-6.8991,6801777.7,423777.7
-18.0044,-5.7089,6802257.8,424257.8
-19.4755,-4.4964,6802749.5,424749.5
-20.9362,-3.2597,6803251,425251
-22.3856,-1.9964,6803760.7,425760.7
-23.8219,-0.705,6804276.9,426276.9
-25.2451,0.6181,6804798,426798
-26.6532,1.9749,6805322.2,427322.2
-28.0448,3.3677,6805847.6,427847.6
-29.419,4.7997,6806372.4,428372.4
-30.7739,6.2736,6806894.8,428894.8
-32.1083,7.7925,6807412.9,429412.9
